x,y,ux,uy,velocity_magnitude
0,0,0.05863487,0.00000000,0.05863487
0,1,0.05861176,0.00000000,0.05861176
0,2,0.05854243,0.00000000,0.05854243
0,3,0.05842686,0.00000000,0.05842686
0,4,0.05826500,0.00000000,0.05826500
0,5,0.05805682,0.00000000,0.05805682
0,6,0.05780225,0.00000000,0.05780225
0,7,0.05750121,0.00000000,0.05750121
0,8,0.05715361,0.00000000,0.05715361
0,9,0.05675934,0.00000000,0.05675934
0,10,0.05631829,0.00000000,0.05631829
0,11,0.05583032,0.00000000,0.05583032
0,12,0.05529529,0.00000000,0.05529529
0,13,0.05471303,0.00000000,0.05471303
0,14,0.05408338,0.00000000,0.05408338
0,15,0.05340615,0.00000000,0.05340615
0,16,0.05268114,0.00000000,0.05268114
0,17,0.05190814,0.00000000,0.05190814
0,18,0.05108694,0.00000000,0.05108694
0,19,0.05021728,0.00000000,0.05021728
0,20,0.04929893,0.00000000,0.04929893
0,21,0.04833163,0.00000000,0.04833163
0,22,0.04731510,0.00000000,0.04731510
0,23,0.04624907,0.00000000,0.04624907
0,24,0.04513325,0.00000000,0.04513325
0,25,0.04396732,0.00000000,0.04396732
0,26,0.04275099,0.00000000,0.04275099
0,27,0.04148393,0.00000000,0.04148393
0,28,0.04016580,0.00000000,0.04016580
0,29,0.03879627,0.00000000,0.03879627
0,30,0.03737498,0.00000000,0.03737498
0,31,0.03590158,0.00000000,0.03590158
0,32,0.03437569,0.00000000,0.03437569
0,33,0.03279696,0.00000000,0.03279696
0,34,0.03116499,0.00000000,0.03116499
0,35,0.02947939,0.00000000,0.02947939
0,36,0.02773978,0.00000000,0.02773978
0,37,0.02594574,0.00000000,0.02594574
0,38,0.02409688,0.00000000,0.02409688
0,39,0.02219278,0.00000000,0.02219278
0,40,0.02023302,0.00000000,0.02023302
0,41,0.01821719,0.00000000,0.01821719
0,42,0.01614485,0.00000000,0.01614485
0,43,0.01401558,0.00000000,0.01401558
0,44,0.01182895,0.00000000,0.01182895
0,45,0.00958451,0.00000000,0.00958451
0,46,0.00728184,0.00000000,0.00728184
0,47,0.00492049,0.00000000,0.00492049
0,48,0.00250002,0.00000000,0.00250002
0,49,0.00002000,0.00000000,0.00002000
1,0,0.05863487,0.00000000,0.05863487
1,1,0.05861176,0.00000000,0.05861176
1,2,0.05854243,0.00000000,0.05854243
1,3,0.05842686,0.00000000,0.05842686
1,4,0.05826500,0.00000000,0.05826500
