y,ux
0,0.05863487
1,0.05861176
2,0.05854243
3,0.05842686
4,0.05826500
5,0.05805682
6,0.05780225
7,0.05750121
8,0.05715361
9,0.05675934
10,0.05631829
11,0.05583032
12,0.05529529
13,0.05471303
14,0.05408338
15,0.05340615
16,0.05268114
17,0.05190814
18,0.05108694
19,0.05021728
20,0.04929893
21,0.04833163
22,0.04731510
23,0.04624907
24,0.04513325
25,0.04396732
26,0.04275099
27,0.04148393
28,0.04016580
29,0.03879627
30,0.03737498
31,0.03590158
32,0.03437569
33,0.03279696
34,0.03116499
35,0.02947939
36,0.02773978
37,0.02594574
38,0.02409688
39,0.02219278
40,0.02023302
41,0.01821719
42,0.01614485
43,0.01401558
44,0.01182895
45,0.00958451
46,0.00728184
47,0.00492049
48,0.00250002
49,0.00002000
