x,y,ux,uy,velocity_magnitude
0,0,0.017564,-0.000000,0.017564
0,1,0.051546,0.000000,0.051546
0,2,0.083192,-0.000000,0.083192
0,3,0.112608,0.000000,0.112608
0,4,0.139901,-0.000000,0.139901
0,5,0.165179,0.000000,0.165179
0,6,0.188546,-0.000000,0.188546
0,7,0.210103,0.000000,0.210103
0,8,0.229952,-0.000000,0.229952
0,9,0.248191,0.000000,0.248191
0,10,0.264914,-0.000000,0.264914
0,11,0.280216,0.000000,0.280216
0,12,0.294185,-0.000000,0.294185
0,13,0.306907,0.000000,0.306907
0,14,0.318464,-0.000000,0.318464
0,15,0.328937,0.000000,0.328937
0,16,0.338399,-0.000000,0.338399
0,17,0.346921,0.000000,0.346921
0,18,0.354571,-0.000000,0.354571
0,19,0.361411,0.000000,0.361411
0,20,0.367499,-0.000000,0.367499
0,21,0.372889,0.000000,0.372889
0,22,0.377632,-0.000000,0.377632
0,23,0.381771,0.000000,0.381771
0,24,0.385348,-0.000000,0.385348
0,25,0.388398,0.000000,0.388398
0,26,0.390954,-0.000000,0.390954
0,27,0.393043,0.000000,0.393043
0,28,0.394687,-0.000000,0.394687
0,29,0.395904,0.000000,0.395904
0,30,0.396708,-0.000000,0.396708
0,31,0.397107,0.000000,0.397107
0,32,0.397107,-0.000000,0.397107
0,33,0.396708,0.000000,0.396708
0,34,0.395904,-0.000000,0.395904
0,35,0.394687,0.000000,0.394687
0,36,0.393043,-0.000000,0.393043
0,37,0.390954,0.000000,0.390954
0,38,0.388398,-0.000000,0.388398
0,39,0.385348,0.000000,0.385348
0,40,0.381771,-0.000000,0.381771
0,41,0.377632,0.000000,0.377632
0,42,0.372889,-0.000000,0.372889
0,43,0.367499,0.000000,0.367499
0,44,0.361411,-0.000000,0.361411
0,45,0.354571,0.000000,0.354571
0,46,0.346921,-0.000000,0.346921
0,47,0.338399,0.000000,0.338399
0,48,0.328937,-0.000000,0.328937
0,49,0.318464,0.000000,0.318464
0,50,0.306907,-0.000000,0.306907
0,51,0.294185,0.000000,0.294185
0,52,0.280216,-0.000000,0.280216
0,53,0.264914,0.000000,0.264914
0,54,0.248191,-0.000000,0.248191
0,55,0.229952,0.000000,0.229952
0,56,0.210103,-0.000000,0.210103
0,57,0.188546,0.000000,0.188546
